Groupe;Equipe;P(1er)%;P(2e)%;P(3e repeche)%;P(qualif)%
A;Mexico;96.0;4.0;0.0;100.0
A;South Korea;4.0;82.2;9.0;95.2
A;South Africa;0.0;10.8;1.3;12.1
A;Czechia;0.0;3.0;9.1;12.0
B;Canada;56.8;43.1;0.1;100.0
B;Switzerland;43.2;55.5;1.3;100.0
B;Bosnia;0.0;1.5;56.4;57.9
B;Qatar;0.0;0.0;17.9;17.9
C;Brazil;51.1;31.2;13.1;95.5
C;Scotland;25.0;29.0;36.1;90.1
C;Morocco;23.4;38.2;26.0;87.5
C;Haiti;0.5;1.6;6.7;8.8
D;USA;96.9;2.8;0.3;100.0
D;Australia;0.6;60.4;26.6;87.6
D;Turkey;2.4;18.9;29.3;50.7
D;Paraguay;0.1;17.8;16.5;34.4
E;Germany;60.8;23.6;14.9;99.3
E;Ivory Coast;31.1;51.0;15.4;97.5
E;Ecuador;8.1;24.1;51.4;83.5
E;Curacao;0.1;1.3;3.4;4.8
F;Sweden;27.5;26.7;42.8;97.0
F;Netherlands;40.4;35.2;18.0;93.5
F;Japan;31.7;37.1;21.9;90.6
F;Tunisia;0.5;1.0;5.2;6.7
G;Belgium;51.6;27.8;11.8;91.2
G;Egypt;22.9;36.0;17.9;76.9
G;Iran;19.4;23.4;18.0;60.8
G;New Zealand;6.0;12.8;12.8;31.6
H;Spain;73.2;17.9;5.6;96.6
H;Uruguay;16.9;39.8;17.3;73.9
H;Cape Verde;5.2;26.4;20.9;52.5
H;Saudi Arabia;4.8;16.0;18.5;39.3
I;France;70.0;27.4;2.4;99.8
I;Norway;28.3;51.6;18.1;98.0
I;Senegal;1.6;20.1;43.6;65.3
I;Iraq;0.1;0.9;6.5;7.4
J;Argentina;85.8;13.4;0.8;99.9
J;Austria;13.4;64.8;16.7;94.9
J;Algeria;0.6;19.5;29.9;50.1
J;Jordan;0.2;2.4;12.2;14.8
K;Colombia;69.2;24.5;5.4;99.0
K;Portugal;26.0;47.2;12.2;85.5
K;DR Congo;3.7;17.4;24.6;45.7
K;Uzbekistan;1.0;11.0;19.6;31.5
L;England;94.3;4.7;0.8;99.8
L;Croatia;3.2;68.1;13.4;84.8
L;Ghana;2.1;21.4;39.2;62.7
L;Panama;0.3;5.8;9.1;15.2
